spellKey,spellLabel,level,schoolKey,castingTime,actionEconomyTag,rangeText,rangeKind,rangeDistanceFeet,rangeAreaText,componentVerbal,componentSomatic,componentMaterial,materialText,duration,concentration,ritual,requiresSavingThrow,saveAbilityKeys,requiresAttackRoll,attackRollKind,atHigherLevelsText,sourceSection
conjure-celestial,Conjure Celestial,7,conjuration,Action,action,90 feet,feet,90,,true,true,false,,"Concentration, up to 10 minutes",true,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The healing and damage increase by 1d12 for each spell slot level above 7.,Spell Descriptions: Conjure Celestial
conjure-elemental,Conjure Elemental,5,conjuration,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 10 minutes",true,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 5.,Spell Descriptions: Conjure Elemental
conjure-fey,Conjure Fey,6,conjuration,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 10 minutes",true,false,false,,true,melee,Using a Higher-Level Spell Slot. The damage increases by 1d12 for each spell slot level above 6.,Spell Descriptions: Conjure Fey
conjure-minor-elementals,Conjure Minor Elementals,4,conjuration,Action,action,Self,self,,,true,true,false,,"Concentration, up to 10 minutes",true,false,false,,false,,Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.,Spell Descriptions: Conjure Minor Elementals
conjure-woodland-beings,Conjure Woodland Beings,4,conjuration,Action,action,Self,self,,,true,true,false,,"Concentration, up to 10 minutes",true,false,true,wisdom,false,,Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4.,Spell Descriptions: Conjure Woodland Beings
contact-other-plane,Contact Other Plane,5,divination,1 minute or Ritual,long-cast,Self,self,,,true,false,false,,1 minute,false,true,true,intelligence,false,,,Spell Descriptions: Contact Other Plane
contagion,Contagion,5,necromancy,Action,action,Touch,touch,,,true,true,false,,7 days,false,false,true,constitution,false,,,Spell Descriptions: Contagion
contingency,Contingency,6,abjuration,10 minutes,long-cast,Self,self,,,true,true,true,"a gem-encrusted statuette of yourself worth 1,500+ GP",10 days,false,false,false,,false,,,Spell Descriptions: Contingency
continual-flame,Continual Flame,2,evocation,Action,action,Touch,touch,,,true,true,true,"ruby dust worth 50+ GP, which the spell consumes",Until dispelled,false,false,false,,false,,,Spell Descriptions: Continual Flame
control-water,Control Water,4,transmutation,Action,action,300 feet,feet,300,,true,true,true,a mixture of water and dust,"Concentration, up to 10 minutes",true,false,true,strength,false,,,Spell Descriptions: Control Water
control-weather,Control Weather,8,transmutation,10 minutes,long-cast,Self,self,,,true,true,true,burning incense,"Concentration, up to 8 hours",true,false,false,,false,,,Spell Descriptions: Control Weather
counterspell,Counterspell,3,abjuration,"Reaction, which you take when you see a creature within 60 feet of yourself casting a spell with Verbal, Somatic, or Material components",reaction,60 feet,feet,60,,false,true,false,,Instantaneous,false,false,true,constitution,false,,,Spell Descriptions: Counterspell
create-food-and-water,Create Food and Water,3,conjuration,Action,action,30 feet,feet,30,,true,true,false,,Instantaneous,false,false,false,,false,,,Spell Descriptions: Create Food and Water
create-or-destroy-water,Create or Destroy Water,1,transmutation,Action,action,30 feet,feet,30,,true,true,true,a mix of water and sand,Instantaneous,false,false,false,,false,,"Using a Higher-Level Spell Slot. You create or destroy 10 additional gallons of water, or the size of the Cube increases by 5 feet, for each spell slot level above 1.",Spell Descriptions: Create or Destroy Water
create-undead,Create Undead,6,necromancy,1 minute,long-cast,10 feet,feet,10,,true,true,true,one 150+ GP black onyx stone for each corpse,Instantaneous,false,false,false,,false,,"Using a Higher-Level Spell Slot. If you use a level 7 spell slot, you can animate or reassert control over four Ghouls. If you use a level 8 spell slot, you can animate or reassert control over five Ghouls or two Ghasts or Wights. If you use a level 9 spell slot, you can animate or reassert control over six Ghouls, three Ghasts or Wights, or two Mummies. See ""Monsters"" for these stat blocks.",Spell Descriptions: Create Undead
creation,Creation,5,illusion,1 minute,long-cast,30 feet,feet,30,,true,true,true,a paintbrush,Special,false,false,false,,false,,Using a Higher-Level Spell Slot. The Cube increases by 5 feet for each spell slot level above 5.,Spell Descriptions: Creation
cure-wounds,Cure Wounds,1,abjuration,Action,action,Touch,touch,,,true,true,false,,Instantaneous,false,false,false,,false,,Using a Higher-Level Spell Slot. The healing increases by 2d8 for each spell slot level above 1.,Spell Descriptions: Cure Wounds
dancing-lights,Dancing Lights,0,illusion,Action,action,120 feet,feet,120,,true,true,true,a bit of phosphorus,"Concentration, up to 1 minute",true,false,false,,false,,,Spell Descriptions: Dancing Lights
darkness,Darkness,2,evocation,Action,action,60 feet,feet,60,,true,false,true,bat fur and a piece of coal,"Concentration, up to 10 minutes",true,false,false,,false,,,Spell Descriptions: Darkness
darkvision,Darkvision,2,transmutation,Action,action,Touch,touch,,,true,true,true,a dried carrot,8 hours,false,false,false,,false,,,Spell Descriptions: Darkvision
daylight,Daylight,3,evocation,Action,action,60 feet,feet,60,,true,true,false,,1 hour,false,false,false,,false,,,Spell Descriptions: Daylight
death-ward,Death Ward,4,abjuration,Action,action,Touch,touch,,,true,true,false,,8 hours,false,false,false,,false,,,Spell Descriptions: Death Ward
delayed-blast-fireball,Delayed Blast Fireball,7,evocation,Action,action,150 feet,feet,150,,true,true,true,a ball of bat guano and sulfur,"Concentration, up to 1 minute",true,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The base damage increases by 1d6 for each spell slot level above 7.,Spell Descriptions: Delayed Blast Fireball
demiplane,Demiplane,8,conjuration,Action,action,60 feet,feet,60,,false,true,false,,1 hour,false,false,false,,false,,,Spell Descriptions: Demiplane
detect-evil-and-good,Detect Evil and Good,1,divination,Action,action,Self,self,,,true,true,false,,"Concentration, up to 10 minutes",true,false,false,,false,,,Spell Descriptions: Detect Evil and Good
detect-magic,Detect Magic,1,divination,Action or Ritual,action,Self,self,,,true,true,false,,"Concentration, up to 10 minutes",true,true,false,,false,,,Spell Descriptions: Detect Magic
detect-poison-and-disease,Detect Poison and Disease,1,divination,Action or Ritual,action,Self,self,,,true,true,true,a yew leaf,"Concentration, up to 10 minutes",true,true,false,,false,,,Spell Descriptions: Detect Poison and Disease
detect-thoughts,Detect Thoughts,2,divination,Action,action,Self,self,,,true,true,true,1 Copper Piece,"Concentration, up to 1 minute",true,false,true,wisdom,false,,,Spell Descriptions: Detect Thoughts
dimension-door,Dimension Door,4,conjuration,Action,action,500 feet,feet,500,,true,false,false,,Instantaneous,false,false,false,,false,,,Spell Descriptions: Dimension Door
disguise-self,Disguise Self,1,illusion,Action,action,Self,self,,,true,true,false,,1 hour,false,false,false,,false,,,Spell Descriptions: Disguise Self
disintegrate,Disintegrate,6,transmutation,Action,action,60 feet,feet,60,,true,true,true,a lodestone and dust,Instantaneous,false,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The damage increases by 3d6 for each spell slot level above 6.,Spell Descriptions: Disintegrate
dispel-evil-and-good,Dispel Evil and Good,5,abjuration,Action,action,Self,self,,,true,true,true,powdered silver and iron,"Concentration, up to 1 minute",true,false,true,charisma,false,,,Spell Descriptions: Dispel Evil and Good
dispel-magic,Dispel Magic,3,abjuration,Action,action,120 feet,feet,120,,true,true,false,,Instantaneous,false,false,false,,false,,Using a Higher-Level Spell Slot. You automatically end a spell on the target if the spell's level is equal to or less than the level of the spell slot you use.,Spell Descriptions: Dispel Magic
dissonant-whispers,Dissonant Whispers,1,enchantment,Action,action,60 feet,feet,60,,true,false,false,,Instantaneous,false,false,true,wisdom,false,,Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.,Spell Descriptions: Dissonant Whispers
divination,Divination,4,divination,Action or Ritual,action,Self,self,,,true,true,true,"incense worth 25+ GP, which the spell consumes",Instantaneous,false,true,false,,false,,,Spell Descriptions: Divination
divine-favor,Divine Favor,1,transmutation,Bonus Action,bonus-action,Self,self,,,true,true,false,,1 minute,false,false,false,,false,,,Spell Descriptions: Divine Favor
divine-smite,Divine Smite,1,evocation,"Bonus Action, which you take immediately after hitting a target with a Melee weapon or an Unarmed Strike",bonus-action,Self,self,,,true,false,false,,Instantaneous,false,false,false,,false,,Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1.,Spell Descriptions: Divine Smite
divine-word,Divine Word,7,evocation,Bonus Action,bonus-action,30 feet,feet,30,,true,false,false,,Instantaneous,false,false,true,charisma,false,,,Spell Descriptions: Divine Word
dominate-beast,Dominate Beast,4,enchantment,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 1 minute",true,false,true,wisdom,false,,"Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 5 (up to 10 minutes), 6 (up to 1 hour), or 7+ (up to 8 hours).",Spell Descriptions: Dominate Beast
dominate-monster,Dominate Monster,8,enchantment,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 1 hour",true,false,true,wisdom,false,,Using a Higher-Level Spell Slot. Your Concentration can last longer with a level 9 spell slot (up to 8 hours).,Spell Descriptions: Dominate Monster
dominate-person,Dominate Person,5,enchantment,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 1 minute",true,false,true,wisdom,false,,"Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 6 (up to 10 minutes), 7 (up to 1 hour), or 8+ (up to 8 hours).",Spell Descriptions: Dominate Person
dragons-breath,Dragon's Breath,2,transmutation,Bonus Action,bonus-action,Touch,touch,,,true,true,true,a hot pepper,"Concentration, up to 1 minute",true,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 2.,Spell Descriptions: Dragon's Breath
dream,Dream,5,illusion,1 minute,long-cast,Special,special,,,true,true,true,a handful of sand,8 hours,false,false,true,wisdom,false,,,Spell Descriptions: Dream
druidcraft,Druidcraft,0,transmutation,Action,action,30 feet,feet,30,,true,true,false,,Instantaneous,false,false,false,,false,,,Spell Descriptions: Druidcraft
earthquake,Earthquake,8,transmutation,Action,action,500 feet,feet,500,,true,true,true,a fractured rock,"Concentration, up to 1 minute",true,false,true,dexterity,false,,,Spell Descriptions: Earthquake
eldritch-blast,Eldritch Blast,0,evocation,Action,action,120 feet,feet,120,,true,true,false,,Instantaneous,false,false,false,,true,ranged,"Cantrip Upgrade. The spell creates two beams at level 5, three beams at level 11, and four beams at level 17. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam.",Spell Descriptions: Eldritch Blast
elementalism,Elementalism,0,transmutation,Action,action,30 feet,feet,30,,true,true,false,,Instantaneous,false,false,false,,false,,,Spell Descriptions: Elementalism
enhance-ability,Enhance Ability,2,transmutation,Action,action,Touch,touch,,,true,true,true,fur or a feather,"Concentration, up to 1 hour",true,false,false,,false,,Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2. You can choose a different ability for each target.,Spell Descriptions: Enhance Ability
enlarge-reduce,Enlarge/Reduce,2,transmutation,Action,action,30 feet,feet,30,,true,true,true,a pinch of powdered iron,"Concentration, up to 1 minute",true,false,true,constitution;strength,false,,,Spell Descriptions: Enlarge/Reduce
ensnaring-strike,Ensnaring Strike,1,conjuration,"Bonus Action, which you take immediately after hitting a creature with a weapon",bonus-action,Self,self,,,true,false,false,,"Concentration, up to 1 minute",true,false,true,strength,false,,Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.,Spell Descriptions: Ensnaring Strike
entangle,Entangle,1,conjuration,Action,action,90 feet,feet,90,,true,true,false,,"Concentration, up to 1 minute",true,false,true,strength,false,,,Spell Descriptions: Entangle
enthrall,Enthrall,2,enchantment,Action,action,60 feet,feet,60,,true,true,false,,"Concentration, up to 1 minute",true,false,true,wisdom,false,,,Spell Descriptions: Enthrall
etherealness,Etherealness,7,conjuration,Action,action,Self,self,,,true,true,false,,Up to 8 hours,false,false,false,,false,,Using a Higher-Level Spell Slot. You can target up to three willing creatures (including yourself) for each spell slot level above 7. The creatures must be within 10 feet of you when you cast the spell.,Spell Descriptions: Etherealness
expeditious-retreat,Expeditious Retreat,1,transmutation,Bonus Action,bonus-action,Self,self,,,true,true,false,,"Concentration, up to 10 minutes",true,false,false,,false,,,Spell Descriptions: Expeditious Retreat
eyebite,Eyebite,6,necromancy,Action,action,Self,self,,,true,true,false,,"Concentration, up to 1 minute",true,false,true,wisdom,false,,,Spell Descriptions: Eyebite
fabricate,Fabricate,4,transmutation,10 minutes,long-cast,120 feet,feet,120,,true,true,false,,Instantaneous,false,false,false,,false,,,Spell Descriptions: Fabricate
faerie-fire,Faerie Fire,1,evocation,Action,action,60 feet,feet,60,,true,false,false,,"Concentration, up to 1 minute",true,false,true,dexterity,false,,,Spell Descriptions: Faerie Fire
faithful-hound,Faithful Hound,4,conjuration,Action,action,30 feet,feet,30,,true,true,true,a silver whistle,8 hours,false,false,true,dexterity,false,,,Spell Descriptions: Faithful Hound
false-life,False Life,1,necromancy,Action,action,Self,self,,,true,true,true,a drop of alcohol,Instantaneous,false,false,false,,false,,Using a Higher-Level Spell Slot. You gain 5 additional Temporary Hit Points for each spell slot level above 1.,Spell Descriptions: False Life
fear,Fear,3,illusion,Action,action,Self,self,,,true,true,true,a white feather,"Concentration, up to 1 minute",true,false,true,wisdom,false,,,Spell Descriptions: Fear
feather-fall,Feather Fall,1,transmutation,"Reaction, which you take when you or a creature you can see within 60 feet of you falls",reaction,60 feet,feet,60,,true,false,true,a small feather or piece of down,1 minute,false,false,false,,false,,,Spell Descriptions: Feather Fall
find-familiar,Find Familiar,1,conjuration,1 hour or Ritual,long-cast,10 feet,feet,10,,true,true,true,"burning incense worth 10+ GP, which the spell consumes",Instantaneous,false,true,false,,false,,,Spell Descriptions: Find Familiar
find-steed,Find Steed,2,conjuration,Action,action,30 feet,feet,30,,true,true,false,,Instantaneous,false,false,false,,false,,Using a Higher-Level Spell Slot. Use the spell slot's level for the spell's level in the stat block.,Spell Descriptions: Find Steed
find-the-path,Find the Path,6,divination,1 minute,long-cast,Self,self,,,true,true,true,a set of divination tools--such as cards or runes--worth 100+ GP,"Concentration, up to 1 day",true,false,false,,false,,,Spell Descriptions: Find the Path
find-traps,Find Traps,2,divination,Action,action,120 feet,feet,120,,true,true,false,,Instantaneous,false,false,false,,false,,,Spell Descriptions: Find Traps
finger-of-death,Finger of Death,7,necromancy,Action,action,60 feet,feet,60,,true,true,false,,Instantaneous,false,false,true,constitution,false,,,Spell Descriptions: Finger of Death
fireball,Fireball,3,evocation,Action,action,150 feet,feet,150,,true,true,true,a ball of bat guano and sulfur,Instantaneous,false,false,true,dexterity,false,,Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 3.,Spell Descriptions: Fireball
fire-bolt,Fire Bolt,0,evocation,Action,action,120 feet,feet,120,,true,true,false,,Instantaneous,false,false,false,,true,ranged,"Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10).",Spell Descriptions: Fire Bolt
