conditionKey,conditionLabel,effectKey,effectLabel,effectText,maskActionTypes,effectKind,mechanicalStatus,adjudicationNote,sourceSection
petrified,Petrified,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,d20-modifier,structured-not-mask,"Attack-roll advantage is a roll modifier, not an action mask.",Rules Glossary: Petrified [Condition]
petrified,Petrified,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,automatic-failure,structured-not-mask,Automatic save failure is mechanical but is not an action mask.,Rules Glossary: Petrified [Condition]
petrified,Petrified,resist-damage,Resist Damage,You have Resistance to all damage.,,damage-modifier,structured-not-mask,Damage resistance is not an action mask.,Rules Glossary: Petrified [Condition]
petrified,Petrified,poison-immunity,Poison Immunity,You have Immunity to the Poisoned condition.,,immunity,structured-not-mask,Condition immunity is not an action mask.,Rules Glossary: Petrified [Condition]
poisoned,Poisoned,ability-checks-and-attacks-affected,Ability Checks and Attacks Affected,You have Disadvantage on attack rolls and ability checks.,,d20-modifier,structured-not-mask,"Attack-roll and ability-check disadvantage are roll modifiers, not action masks.",Rules Glossary: Poisoned [Condition]
prone,Prone,restricted-movement,Restricted Movement,"Your only movement options are to crawl or to spend an amount of movement equal to half your Speed (round down) to right yourself and thereby end the condition. If your Speed is 0, you can't right yourself.",,movement-restriction,adjudication-required,Prone constrains movement modes and standing cost but does not mask Move entirely.,Rules Glossary: Prone [Condition]
prone,Prone,attacks-affected,Attacks Affected,"You have Disadvantage on attack rolls. An attack roll against you has Advantage if the attacker is within 5 feet of you. Otherwise, that attack roll has Disadvantage.",,d20-modifier,structured-not-mask,"Attack-roll advantage and disadvantage are roll modifiers, not action masks.",Rules Glossary: Prone [Condition]
restrained,Restrained,speed-0,Speed 0,Your Speed is 0 and can't increase.,dyn:Move,affordance-mask,codified-mask,,Rules Glossary: Restrained [Condition]
restrained,Restrained,attacks-affected,Attacks Affected,"Attack rolls against you have Advantage, and your attack rolls have Disadvantage.",,d20-modifier,structured-not-mask,"Attack-roll advantage and disadvantage are roll modifiers, not action masks.",Rules Glossary: Restrained [Condition]
restrained,Restrained,saving-throws-affected,Saving Throws Affected,You have Disadvantage on Dexterity saving throws.,,d20-modifier,structured-not-mask,"Dexterity-save disadvantage is a roll modifier, not an action mask.",Rules Glossary: Restrained [Condition]
stunned,Stunned,incapacitated,Incapacitated,You have the Incapacitated condition.,dyn:TakeAction;dyn:TakeBonusAction;dyn:TakeReaction;dyn:MaintainConcentration;dyn:Speak,condition-reference-mask,codified-mask,The action masks derive from the embedded Incapacitated condition.,Rules Glossary: Stunned [Condition]
stunned,Stunned,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,automatic-failure,structured-not-mask,Automatic save failure is mechanical but is not an action mask.,Rules Glossary: Stunned [Condition]
stunned,Stunned,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,d20-modifier,structured-not-mask,"Attack-roll advantage is a roll modifier, not an action mask.",Rules Glossary: Stunned [Condition]
unconscious,Unconscious,inert,Inert,"You have the Incapacitated and Prone conditions, and you drop whatever you're holding. When this condition ends, you remain Prone.",dyn:TakeAction;dyn:TakeBonusAction;dyn:TakeReaction;dyn:MaintainConcentration;dyn:Speak,condition-reference-mask,codified-mask,The action masks derive from the embedded Incapacitated condition; dropping held objects and remaining Prone are recorded as prose.,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,speed-0,Speed 0,Your Speed is 0 and can't increase.,dyn:Move,affordance-mask,codified-mask,,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,attacks-affected,Attacks Affected,Attack rolls against you have Advantage.,,d20-modifier,structured-not-mask,"Attack-roll advantage is a roll modifier, not an action mask.",Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,saving-throws-affected,Saving Throws Affected,You automatically fail Strength and Dexterity saving throws.,,automatic-failure,structured-not-mask,Automatic save failure is mechanical but is not an action mask.,Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,automatic-critical-hits,Automatic Critical Hits,Any attack roll that hits you is a Critical Hit if the attacker is within 5 feet of you.,,hit-resolution,structured-not-mask,"Critical-hit conversion is attack resolution data, not an action mask.",Rules Glossary: Unconscious [Condition]
unconscious,Unconscious,unaware,Unaware,You're unaware of your surroundings.,,perception-adjudication,adjudication-required,Awareness is observer/context dependent; this package keeps the source prose without inventing a perception engine.,Rules Glossary: Unconscious [Condition]
